School Name,Borough,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Zip Code,address_full2,Lat,Lon
P.S. 884 - BROOKLYN,K,84,Lease,2162000,CAP,K884,15 SNYDER AVENUE,Brooklyn,11226,"15 SNYDER AVENUE, Brooklyn 11226",40.64867,-73.9575
I.S. 323 - MANHATTAN,M,2,New,98820000,CAP,M323,75 MORTON STREET,Manhattan,10014,"75 MORTON STREET, Manhattan 10014",40.73115,-74.00777
P.S. 342 (RIVERSIDE CENTER) - MANHATTAN,M,3,New,74425721,CAP,M342,21 WEST END AVENUE,Manhattan,10023,"21 WEST END AVENUE, Manhattan 10023",40.77272,-73.99043
PRE-K CENTER @ 2 LAFAYETTE STREET - MANHATTAN,M,2,Interior,5144096,CAP,M453,2 LAFAYETTE STREET,Manhattan,10007,"2 LAFAYETTE STREET, Manhattan 10007",40.71402,-74.00389
,M,2,,0,CAP,M777,227 WEST 27TH STREET,Manhattan,,"227 WEST 27TH STREET, Manhattan",40.74721,-73.99487
ISHS @ M837,M,78,Lease,387600,CAP,M837,227-243 WEST 61 STREET,Manhattan,10023,"227-243 WEST 61 STREET, Manhattan 10023",40.77261,-73.98832
ISHS @ M837,M,78,Lease,13694000,CAP,M837,227-243 WEST 61 STREET,Manhattan,10023,"227-243 WEST 61 STREET, Manhattan 10023",40.77261,-73.98832
P.S. 303 - QUEENS,Q,28,Addition,65987000,CAP,Q003,108-55 69TH AVENUE,Queens,11375,"108-55 69TH AVENUE, Queens 11375",40.72542995,-73.84410608
P.S. 303 - QUEENS,Q,28,Demo,5183000,CAP,Q003,108-55 69TH AVENUE,Queens,11375,"108-55 69TH AVENUE, Queens 11375",40.72542995,-73.84410608
P.S. 11 - QUEENS,Q,30,Addition,91875000,CAP,Q011,54-25 SKILLMAN AVENUE,Queens,11377,"54-25 SKILLMAN AVENUE, Queens 11377",40.74613,-73.90903
P.S. 19 - QUEENS,Q,24,Addition,95491911,CAP,Q019,98-02 ROOSEVELT AVENUE,Queens,11368,"98-02 ROOSEVELT AVENUE, Queens 11368",40.74934021,-73.8674298
P.S. 24 - QUEENS,Q,25,Addition,82451000,CAP,Q024,141-11 HOLLY AVENUE,Queens,11355,"141-11 HOLLY AVENUE, Queens 11355",40.75150817,-73.81784377
P.S. 24 - QUEENS,Q,25,Demo,2717000,CAP,Q024,141-11 HOLLY AVENUE,Queens,11355,"141-11 HOLLY AVENUE, Queens 11355",40.75150817,-73.81784377
P.S. 35 - QUEENS,Q,29,Addition,42808000,CAP,Q035,191-02 90TH AVENUE,Queens,11423,"191-02 90TH AVENUE, Queens 11423",40.71343,-73.76887
P.S. 49 - QUEENS,Q,24,Addition,31534000,CAP,Q049,63-60 80TH STREET,Queens,11379,"63-60 80TH STREET, Queens 11379",40.71984223,-73.8751279
P.S. 50 - QUEENS,Q,28,Addition,55182000,CAP,Q050,143-26 101 AVENUE,Queens,11435,"143-26 101 AVENUE, Queens 11435",40.69491,-73.80682
